Priority,Feature Name,Python Location,Python Modules,Rust Status,Rust Location,Impact,Effort (Weeks),Dependencies
CRITICAL,Fantasy Collective,src/fantasy_collective/,14,Missing,New crate: fantasy,Full fantasy sports betting system - 14 modules,3-4,"Database, scoring, manager, migrations, models, player_stats, syndicate_integration, team_builder, t..."
CRITICAL,Polymarket Integration,src/polymarket/,60,Missing,New crate: polymarket,Prediction market trading - 60 modules,4-6,"Full CLOB client, auth, arbitrage, analytics, ensemble, market_making, neural_forecasting, orderbook"
CRITICAL,Canadian Trading,src/canadian_trading/,22,Missing,Extend: execution/canadian,Canadian broker integrations - 22 modules,2-3,"Questrade, IB Canada, OANDA Canada, CIRO compliance, tax_reporting, audit_trail"
CRITICAL,Crypto Beefy Finance,src/crypto_trading/beefy/,Multiple,Missing,New crate: defi,DeFi yield optimization,2,"Web3 manager, vault client, APY analysis, database models"
CRITICAL,E2B Integration,src/e2b_integration/,5,Missing,Extend: distributed/e2b,Cloud sandbox execution - 5 modules,1-2,"Agent runner, sandbox manager, process executor, API integration"
CRITICAL,E2B Templates,src/e2b_templates/,8,Missing,New crate: templates,Template system - 8 modules,1-2,"Template builder, deployer, registry, Claude Code/Flow templates"
CRITICAL,GPU Data Processing,src/gpu_data_processing/,Multiple,Missing,New crate: gpu-processing,GPU-accelerated processing,2-3,"CUDA signal generator, GPU data processor"
CRITICAL,News Trading,src/news_trading/,47,Missing,New crate: news-trading,Comprehensive news trading - 47 modules,3-4,"Bond market, credit trader, curve trader, deduplication, embeddings, NLP, news_cache, rebalancing, V..."
CRITICAL,Trading Platform,src/trading-platform/,40,Missing,New crate: trading-platform,Full trading platform - 40 modules,4-5,"Crypto API, symbolic math (differentiator, integrator, factorizer), market making, optimization"
HIGH,News Integration Advanced,src/integrations/,Multiple,Missing,New/Extend: news-integration,"News aggregator, relevance scorer, caching",1-2,"alpha_vantage, finnhub, newsapi, circuit_breaker"
HIGH,News Sources,src/news/,Multiple,Missing,Extend: news-integration,Specialized news feeds,1-2,"bond_market, federal_reserve, reuters, treasury, yahoo_finance"
HIGH,Sports Betting Advanced,src/sports_betting/,29,Missing,Extend: multi-market,Advanced betting features - 29 modules,2-3,"betfair_api, kelly_criterion, syndicate_betting, risk_framework, compliance, circuit_breakers"
HIGH,Syndicate Management,src/syndicate/,Multiple,Missing,New crate: syndicate,Syndicate features,1,"capital_management, member_management, syndicate_tools"
HIGH,Database Optimization,src/database_optimization/,Multiple,Missing,New crate: db-optimization,Performance optimization,1-2,"connection_pool, index_manager, query_optimizer"
HIGH,Trading APIs Multi-Broker,src/trading_apis/,Multiple,Missing,Extend: execution,27 broker integrations,3-4,"alpha_vantage, lime_trading, tradier, questrade, oanda, execution_router, failover"
HIGH,Advanced Optimization,src/optimization/,8,Missing,New crate: optimization,Strategy optimization - 8 modules,2,"mean_reversion_optimizer, swing_optimizer, emergency_momentum, aggressive_swing"
HIGH,MCP Server Variants,src/mcp/,Multiple,Missing,Extend: mcp-server,21 MCP server implementations,2-3,"claude_optimized, enhanced, fantasy, integrated, official, timeout_fixed, various specializations"
HIGH,Auth System,src/auth/,Multiple,Missing,New crate: auth,JWT authentication,1,"jwt_handler, token management"
MEDIUM,Neural Forecast Advanced,src/neural_forecast/,25 advanced,Partial or Missing,Various crates,25 advanced modules,1-3,"gpu_acceleration, mixed_precision, lightning_inference, model_versioning, flyio_launcher"
MEDIUM,Alpaca Trading Advanced,src/alpaca_trading/,24 streaming,Partial or Missing,Various crates,24 streaming modules,1-3,"Full websocket streaming, connection_pool, message_handler, stream_health, latency_tracker"
MEDIUM,CCXT Advanced,src/ccxt_integration/,Multiple,Partial or Missing,Various crates,Advanced crypto features,1-3,"websocket_manager, client_manager, order_router, exchange_registry"
MEDIUM,Risk Advanced,src/risk/,Multiple,Partial or Missing,Various crates,Stress testing,1-3,"stress_test_engine, stress_test_runner, mcp_integration, optimization"
MEDIUM,Monitoring,src/monitoring/,Multiple,Partial or Missing,Various crates,Performance tracking,1-3,performance_tracker
MEDIUM,Risk Management Adaptive,src/risk_management/,Multiple,Partial or Missing,Various crates,Adaptive risk,1-3,adaptive_risk_manager
MEDIUM,Trading Strategies Advanced,src/trading/,Multiple,Partial or Missing,Various crates,20 advanced strategies,1-3,"emergency_risk_manager, etf_analyzer, mirror_trader, swing_trader, mean_reversion_trader"
MEDIUM,Models,src/models/,Multiple,Partial or Missing,Various crates,Model implementations,1-3,momentum_predictor
LOW,Python Utils,src/python/,20 utility,Not needed or partial,Various/As needed,20 utility modules,1,"async_utils, config, performance_monitor, test_fixtures"
LOW,Root Scripts,src/ (root level),Multiple,Not needed or partial,Various/As needed,31 utility scripts,1,"benchmark_system, data_verification, test scripts"
LOW,Odds API Tools,src/odds_api/,Multiple,Not needed or partial,Various/As needed,Odds integration,1,"client, tools, test_integration"
LOW,Strategies Optimization,src/strategies/,10 strategy,Not needed or partial,Various/As needed,10 strategy modules,1,"backtesting_engine, mcp_integration, neural_momentum, perpetual_trader"
