entry_price,exit_price,direction,pnl,confidence,timestamp
116217.785,116101.567215,LONG,-0.0010000000000000063,0.6100000000000001,2025-09-17 17:42:00+00:00
116037.945,115921.907055,LONG,-0.0010000000000000317,0.6900000000000001,2025-09-17 19:25:00+00:00
116015.655,115899.639345,LONG,-0.000999999999999962,0.6900000000000001,2025-09-17 19:26:00+00:00
116116.5995,116000.48290049999,LONG,-0.0010000000000000401,0.6100000000000001,2025-09-17 20:09:00+00:00
115849.05,115964.89904999999,SHORT,-0.000999999999999912,0.62,2025-09-17 20:16:00+00:00
117697.298730964,117579.60143223303,LONG,-0.001000000000000059,0.6100000000000001,2025-09-18 03:15:00+00:00
117594.991,117594.991,LONG,0.0,0.6100000000000001,2025-09-18 14:00:00+00:00
116711.0195,116827.73051949998,SHORT,-0.0009999999999998638,0.6900000000000001,2025-09-18 23:03:00+00:00
112688.895,112688.895,SHORT,0.0,0.6900000000000001,2025-09-22 07:52:00+00:00
112699.5105,112699.5105,SHORT,0.0,0.6900000000000001,2025-09-22 07:53:00+00:00
112899.399,112899.399,LONG,0.0,0.7,2025-09-22 13:53:00+00:00
113245.4445,113245.4445,LONG,0.0,0.6100000000000001,2025-09-22 13:59:00+00:00
